Dataset,Classifier,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,train_time,test_time
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.8767123287671232,0.8767123287671232,0.8732876712328768,0.8762886597938144,0.8797250859106529,0.8765452148943181,0.002041805328589633,0.08712887763977051,0.03547310829162598
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.8698630136986302,0.8595890410958904,0.8767123287671232,0.8625429553264605,0.8694158075601375,0.8676246292896483,0.0060199510635842515,0.007961750030517578,0.04525566101074219
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.9075342465753424,0.9075342465753424,0.8972602739726028,0.9106529209621993,0.9209621993127147,0.9087887774796404,0.007585793547691549,1.0983643531799316,0.008439302444458008
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.21232876712328766,0.8767123287671232,0.1815068493150685,0.21649484536082475,0.1958762886597938,0.33658381584521957,0.27035049923791504,0.012371540069580078,0.0066661834716796875
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.6301369863013698,0.702054794520548,0.8116438356164384,0.7560137457044673,0.8797250859106529,0.7559148896106953,0.08620403784891062,0.5137760639190674,0.008623123168945312
robot-failures-lp1,DecisionTree,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.8235294117647058,0.8235294117647058,0.7516339869281046,0.06210870074878221,0.013176441192626953,0.006880760192871094
robot-failures-lp1,SVM,0.6111111111111112,0.5,0.5555555555555556,0.7058823529411765,0.6470588235294118,0.6039215686274509,0.07134070011701864,0.010499954223632812,0.00769495964050293
robot-failures-lp1,KNN,0.7777777777777778,0.7222222222222222,0.7777777777777778,0.8823529411764706,0.8235294117647058,0.7967320261437909,0.05351500520381364,0.0073490142822265625,0.021688222885131836
robot-failures-lp1,LogisticRegression,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.7647058823529411,0.5294117647058824,0.6366013071895424,0.07759356446042891,0.5459020137786865,0.00862884521484375
robot-failures-lp1,Perceptron,0.3888888888888889,0.7777777777777778,0.6111111111111112,0.7058823529411765,0.6470588235294118,0.6261437908496732,0.13138067805630416,0.016599655151367188,0.007154941558837891
robot-failures-lp1,MLP,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.7647058823529411,0.6470588235294118,0.7601307189542483,0.07065477377139918,0.2884695529937744,0.008945226669311523
FOREX_eurdkk-day-Close,DecisionTree,0.5054347826086957,0.47411444141689374,0.5122615803814714,0.4877384196185286,0.49318801089918257,0.4945474469849544,0.013401815068609305,0.11083173751831055,0.006814241409301758
FOREX_eurdkk-day-Close,SVM,0.4673913043478261,0.4986376021798365,0.4822888283378747,0.5258855585831063,0.5013623978201635,0.49511313825376135,0.01965390517911045,0.23752450942993164,0.1342625617980957
FOREX_eurdkk-day-Close,KNN,0.5108695652173914,0.5149863760217984,0.4768392370572207,0.4986376021798365,0.48501362397820164,0.4972692808908897,0.014617272756545912,0.013151407241821289,0.01750493049621582
FOREX_eurdkk-day-Close,LogisticRegression,0.5380434782608695,0.5340599455040872,0.5231607629427792,0.5231607629427792,0.5231607629427792,0.5283171425186589,0.006439660613592837,0.44262099266052246,0.007254362106323242
FOREX_eurdkk-day-Close,Perceptron,0.4782608695652174,0.4904632152588556,0.5231607629427792,0.5694822888283378,0.5013623978201635,0.5125459068830707,0.032070568084780086,0.012984275817871094,0.006078958511352539
FOREX_eurdkk-day-Close,MLP,0.5407608695652174,0.4877384196185286,0.5177111716621253,0.4713896457765668,0.5258855585831063,0.5086971330411088,0.025439710450731286,1.1376073360443115,0.008205175399780273
ada_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.7675,0.805,0.77,0.81,0.7825,0.7870000000000001,0.017564168070250328,0.036618709564208984,0.00726628303527832
ada_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.81,0.805,0.7975,0.8125,0.8,0.805,0.005700877125495695,0.19908857345581055,0.09137248992919922
ada_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.795,0.7925,0.81,0.7975,0.775,0.7939999999999999,0.011247221879202001,0.008521080017089844,0.04974198341369629
ada_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.8525,0.8475,0.84,0.8525,0.8325,0.845,0.0077459666924148485,1.1944797039031982,0.008456230163574219
ada_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.525,0.7825,0.78,0.61,0.7675,0.6930000000000001,0.10605894587445228,0.017162084579467773,0.007309913635253906
ada_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.785,0.8425,0.83,0.795,0.8275,0.8160000000000001,0.022056745000112763,1.5119011402130127,0.009538650512695312
FOREX_eursgd-day-High,DecisionTree,0.5749318801089919,0.5258855585831063,0.6229508196721312,0.6120218579234973,0.6065573770491803,0.5884694986673813,0.03513079316446211,0.10149693489074707,0.00771021842956543
FOREX_eursgd-day-High,SVM,0.5340599455040872,0.5858310626702997,0.5355191256830601,0.5546448087431693,0.5601092896174863,0.5540328464436206,0.01892141032291382,0.23660659790039062,0.1328577995300293
FOREX_eursgd-day-High,KNN,0.5286103542234333,0.5177111716621253,0.49453551912568305,0.5491803278688525,0.5437158469945356,0.5267506439749259,0.01956473196357486,0.012837886810302734,0.017343759536743164
